2015-07-16T10:39:10.266+0300 | GoEuro: | ERROR | (HttpCommunication.java:167) | [main] | Error while making request. Exception message  
2015-07-16T10:39:35.818+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:39:35.820+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:39:35.820+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:39:35.847+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:39:35.848+0300 | GoEuro: | ERROR | (HttpCommunication.java:167) | [main] | Error while making request. Exception message  
2015-07-16T10:39:53.167+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:39:53.169+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:39:53.169+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:39:53.197+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:39:53.198+0300 | GoEuro: | ERROR | (HttpCommunication.java:168) | [main] | Error while making request. Exception message  
2015-07-16T10:40:10.875+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:40:10.877+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:40:10.877+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:40:10.903+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:40:10.904+0300 | GoEuro: | INFO  | (HttpCommunication.java:130) | [main] | Response null 
2015-07-16T10:40:10.904+0300 | GoEuro: | ERROR | (HttpCommunication.java:169) | [main] | Error while making request. Exception message  
2015-07-16T10:40:22.876+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:40:22.878+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:40:22.878+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:40:22.912+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:40:22.912+0300 | GoEuro: | INFO  | (HttpCommunication.java:130) | [main] | Response [!!!com.sun.proxy.$Proxy17@2adc3416=>java.lang.IllegalStateException:No Scope registered for scope 'thread'!!!] 
2015-07-16T10:40:22.913+0300 | GoEuro: | ERROR | (HttpCommunication.java:169) | [main] | Error while making request. Exception message  
2015-07-16T10:44:30.645+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:44:30.647+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:44:30.647+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:44:30.673+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:44:30.674+0300 | GoEuro: | INFO  | (HttpCommunication.java:130) | [main] | Response [!!!com.sun.proxy.$Proxy17@1533a69e=>java.lang.IllegalStateException:No Scope registered for scope 'thread'!!!] 
2015-07-16T10:44:30.674+0300 | GoEuro: | ERROR | (HttpCommunication.java:169) | [main] | Error while making request. Exception message  
2015-07-16T10:51:15.797+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:51:15.799+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:51:15.800+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:51:15.824+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:51:15.825+0300 | GoEuro: | INFO  | (HttpCommunication.java:130) | [main] | Response [!!!com.sun.proxy.$Proxy17@17df3aeb=>java.lang.IllegalStateException:No Scope registered for scope 'thread'!!!] 
2015-07-16T10:51:15.825+0300 | GoEuro: | ERROR | (HttpCommunication.java:169) | [main] | Error while making request. Exception message  
2015-07-16T10:53:06.615+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:53:06.618+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:53:06.618+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:53:06.645+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:53:06.645+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response [!!!com.sun.proxy.$Proxy17@20be9067=>java.lang.IllegalStateException:No Scope registered for scope 'thread'!!!] 
2015-07-16T10:53:06.645+0300 | GoEuro: | ERROR | (HttpCommunication.java:172) | [main] | Error while making request. Exception message  
2015-07-16T10:54:25.331+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:54:25.334+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:54:25.334+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:54:25.362+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:54:25.418+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T10:54:25.421+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T10:54:25.661+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@4863e4f2 
2015-07-16T10:54:25.668+0300 | GoEuro: | INFO  | (HttpCommunication.java:141) | [main] | Response null 
2015-07-16T10:54:25.678+0300 | GoEuro: | INFO  | (HttpCommunication.java:146) | [main] | Response null 
2015-07-16T10:54:25.679+0300 | GoEuro: | INFO  | (HttpCommunication.java:149) | [main] | Response null 
2015-07-16T10:54:26.152+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T10:58:16.075+0300 | GoEuro: | INFO  | (GoEuroTest.java:51) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:58:16.077+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:58:16.078+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:58:16.105+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:58:16.148+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T10:58:16.152+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T10:58:16.405+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@28454d3e 
2015-07-16T10:58:16.412+0300 | GoEuro: | INFO  | (HttpCommunication.java:141) | [main] | Response null 
2015-07-16T10:58:16.423+0300 | GoEuro: | INFO  | (HttpCommunication.java:146) | [main] | Response null 
2015-07-16T10:58:16.423+0300 | GoEuro: | INFO  | (HttpCommunication.java:149) | [main] | Response null 
2015-07-16T10:58:16.634+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
